項次,銷售日期,機台,序號,時間,交易型態,票證晶片碼,交易前餘額,扣款金額,現金加值金額,現金加值取消,自動加值金額,交易後餘額,票證種類
1,2018/4/2,585066,2513,22:33,銷售交易,8597084,874,297,0,0,0,577,悠遊卡
2,2018/4/2,585066,3500,22:28,銷售交易,9619733,310,34,0,0,0,276,悠遊卡
3,2018/4/2,585066,2223,22:18,銷售交易,7667188,560,73,0,0,0,487,悠遊卡
4,2018/4/2,585066,962,22:10,銷售交易,9121498,84,366,0,0,500,218,一卡通
5,2018/4/2,585066,2728,22:08,銷售交易,7938776,500,42,0,0,0,458,悠遊卡
6,2018/4/2,585066,1349,22:03,銷售交易,9517141,122,49,0,0,0,73,悠遊卡
7,2018/4/2,585066,2696,22:00,銷售交易,7949213,6,464,0,0,500,42,悠遊卡
8,2018/4/2,585066,1490,21:51,銷售交易,9767629,473,74,0,0,0,399,悠遊卡
9,2018/4/2,585066,405,21:38,銷售交易,9280087,326,127,0,0,0,199,一卡通
10,2018/4/2,585066,1985,21:27,銷售交易,7516836,240,155,0,0,0,85,悠遊卡
11,2018/4/2,585066,3439,21:19,銷售交易,10399817,336,244,0,0,0,92,悠遊卡
12,2018/4/2,585066,355,21:19,銷售交易,7616582,215,262,0,0,500,453,悠遊卡
13,2018/4/2,585066,2594,21:15,銷售交易,10101497,168,110,0,0,0,58,悠遊卡
14,2018/4/2,585066,1756,21:12,銷售交易,9450003,488,92,0,0,0,396,悠遊卡
15,2018/4/2,585066,821,21:10,銷售交易,9526738,324,142,0,0,0,182,悠遊卡
16,2018/4/2,585066,1218,20:58,銷售交易,8710905,45,254,0,0,500,291,悠遊卡
17,2018/4/2,585066,971,20:56,銷售交易,7821116,"1,071",290,0,0,0,781,悠遊卡
18,2018/4/2,585066,1020,20:55,現金加值,7821116,71,0,"1,000",0,0,"1,071",悠遊卡
19,2018/4/2,585066,2123,20:50,銷售交易,9492277,427,30,0,0,0,397,悠遊卡
20,2018/4/2,585066,3501,20:48,銷售交易,7157450,296,30,0,0,0,266,悠遊卡
21,2018/4/2,585066,1552,20:47,銷售交易,7666581,125,108,0,0,0,17,悠遊卡
22,2018/4/2,585066,3485,20:40,現金加值,10338888,192,0,"1,000",0,0,"1,192",悠遊卡
23,2018/4/2,585066,2459,20:40,銷售交易,10338888,"1,032",840,0,0,0,192,悠遊卡
24,2018/4/2,585066,433,20:37,銷售交易,10373970,564,56,0,0,0,508,悠遊卡
25,2018/4/2,585066,381,20:31,銷售交易,10307807,483,158,0,0,0,325,悠遊卡
26,2018/4/2,585066,2298,20:22,銷售交易,8830686,388,125,0,0,0,263,悠遊卡
27,2018/4/2,585066,3548,20:20,銷售交易,8632454,332,33,0,0,0,299,悠遊卡
28,2018/4/2,585066,3430,20:15,銷售交易,10064906,173,221,0,0,500,452,悠遊卡
29,2018/4/2,585066,2927,20:11,銷售交易,9351950,798,58,0,0,0,740,悠遊卡
30,2018/4/2,585066,2427,19:53,銷售交易,9310228,487,367,0,0,0,120,悠遊卡
31,2018/4/2,585066,2375,19:48,銷售交易,7178634,555,109,0,0,0,446,悠遊卡
32,2018/4/2,585066,848,19:46,銷售交易,9274978,"1,247",449,0,0,0,798,悠遊卡
33,2018/4/2,585066,1863,19:44,銷售交易,7816477,345,421,0,0,500,424,悠遊卡
34,2018/4/2,585066,2846,19:40,銷售交易,8079641,124,29,0,0,0,95,悠遊卡
35,2018/4/2,585066,367,19:37,銷售交易,10260866,496,29,0,0,0,467,悠遊卡
36,2018/4/2,585066,1000,19:33,銷售交易,7341794,311,29,0,0,0,282,一卡通
37,2018/4/2,585066,2211,19:22,銷售交易,10590146,366,471,0,0,500,395,悠遊卡
38,2018/4/2,585066,1280,19:19,銷售交易,9943918,"1,505",508,0,0,0,997,悠遊卡
39,2018/4/2,585066,1100,19:19,現金加值,9943918,505,0,"1,000",0,0,"1,505",悠遊卡
40,2018/4/2,585066,2864,19:14,銷售交易,10037238,66,23,0,0,0,43,悠遊卡
41,2018/4/2,585066,1082,19:13,銷售交易,7292251,182,402,0,0,500,280,悠遊卡
42,2018/4/2,585066,1629,19:11,銷售交易,7685061,332,72,0,0,0,260,悠遊卡
43,2018/4/2,585066,1766,18:55,銷售交易,8702585,500,151,0,0,0,349,悠遊卡
44,2018/4/2,585066,1515,16:46,銷售交易,7475590,186,8,0,0,0,178,悠遊卡
45,2018/4/2,585066,2575,16:24,銷售交易,10076551,144,27,0,0,0,117,悠遊卡
46,2018/4/2,585066,2367,16:09,銷售交易,9787956,171,155,0,0,0,16,悠遊卡
47,2018/4/2,585066,954,15:36,銷售交易,8903331,41,323,0,0,400,118,一卡通
48,2018/4/2,585066,399,15:06,銷售交易,7122480,24,12,0,0,0,12,悠遊卡
49,2018/4/2,585066,2134,14:47,銷售交易,7755496,161,55,0,0,0,106,悠遊卡
50,2018/4/2,585066,2835,14:41,銷售交易,7443485,515,96,0,0,0,419,悠遊卡
51,2018/4/2,585066,3363,14:21,銷售交易,7671822,994,128,0,0,0,866,悠遊卡
52,2018/4/2,585066,727,13:46,銷售交易,10307728,344,566,0,0,500,278,悠遊卡
53,2018/4/2,585066,2711,13:34,銷售交易,7546808,212,210,0,0,0,2,悠遊卡
54,2018/4/2,585066,2406,13:16,銷售交易,10495608,376,105,0,0,0,271,悠遊卡
55,2018/4/2,585066,1063,13:14,銷售交易,9514970,479,21,0,0,0,458,悠遊卡
56,2018/4/2,585066,3497,13:12,銷售交易,7928846,106,311,0,0,400,195,一卡通
57,2018/4/2,585066,3286,13:08,銷售交易,10076551,199,55,0,0,0,144,悠遊卡
58,2018/4/2,585066,883,13:00,銷售交易,7589613,"1,344",32,0,0,0,"1,312",悠遊卡
59,2018/4/2,585066,514,11:58,銷售交易,10141704,393,35,0,0,0,358,悠遊卡
60,2018/4/2,585066,2988,11:55,銷售交易,10076551,239,40,0,0,0,199,悠遊卡
61,2018/4/2,585066,796,11:43,銷售交易,10304553,396,103,0,0,0,293,悠遊卡
62,2018/4/2,585066,2749,10:38,銷售交易,9535452,265,22,0,0,0,243,悠遊卡
63,2018/4/2,585066,2618,10:13,銷售交易,8513177,224,8,0,0,0,216,悠遊卡
